date,sentence_idx,sentence,p_pos,p_neu,p_neg,score,entropy,model_tag
2000-02-02,0,The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 5-3/4 percent.,0.10489927232265472,0.8291527628898621,0.06594791263341904,0.03895135968923569,0.5711697400053336,finbert-cal
2000-02-02,1,"In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/4 percent.",0.11214563250541687,0.8212265968322754,0.06662777811288834,0.045517854392528534,0.5875857378055614,finbert-cal
2000-02-02,2,"The Committee remains concerned that over time increases in demand will continue to exceed the growth in potential supply, even after taking account of the pronounced rise in productivity growth.",0.11378009617328644,0.15172193944454193,0.7344979643821716,-0.6207178682088852,0.7600451827938111,finbert-cal
2000-02-02,3,Such trends could foster inflationary imbalances that would undermine the economy's record economic expansion.,0.17959536612033844,0.16902996599674225,0.6513746976852417,-0.47177933156490326,0.8880800375580424,finbert-cal
2000-02-02,4,"Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.",0.14945177733898163,0.16110579669475555,0.6894423961639404,-0.5399906188249588,0.8345894728708163,finbert-cal
2000-02-02,5,"In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Kansas City and San Francisco.",0.09783457219600677,0.8410530090332031,0.061112385243177414,0.03672218695282936,0.5438126167590593,finbert-cal
2000-02-02,6,The discount rate is the rate charged depository institutions when they borrow short-term adjustment credit from their district Federal Reserve Banks.,0.10005412250757217,0.792499303817749,0.1074465960264206,-0.007392473518848419,0.6543232379891953,finbert-cal
2000-03-21,0,The Federal Open Market Committee voted today to raise its target for the federal funds rate by 25 basis points to 6 percent.,0.10417549312114716,0.8322618007659912,0.06356267631053925,0.04061281681060791,0.5635830695243204,finbert-cal
2000-03-21,1,"In a related action, the Board of Governors approved a 25 basis point increase in the discount rate to 5-1/2 percent.",0.1124952882528305,0.8209749460220337,0.06652979552745819,0.045965492725372314,0.5880351288907836,finbert-cal
2000-03-21,2,Economic conditions and considerations addressed by the Committee are essentially the same as when the Committee met in February.,0.0762040913105011,0.8317309617996216,0.09206503629684448,-0.015860944986343384,0.569017615540543,finbert-cal
2000-03-21,3,"The Committee remains concerned that increases in demand will continue to exceed the growth in potential supply, which could foster inflationary imbalances that would undermine the economy's record economic expansion.",0.127699077129364,0.14028780162334442,0.7320131063461304,-0.6043140292167664,0.7667048196230434,finbert-cal
2000-03-21,4,"Against the background of its long-run goals of price stability and sustainable economic growth and of the information currently available, the Committee believes the risks are weighted mainly toward conditions that may generate heightened inflation pressures in the foreseeable future.",0.14945177733898163,0.16110579669475555,0.6894423961639404,-0.5399906188249588,0.8345894728708163,finbert-cal
2000-03-21,5,"In taking the discount rate action, the Federal Reserve Board approved requests submitted by the Boards of Directors of the Federal Reserve Banks of Boston, New York, Philadelphia, Cleveland, Richmond, Atlanta, Chicago, St. Louis, Minneapolis, Kansas City and San Francisco.",0.09696809202432632,0.8405402898788452,0.06249162182211876,0.034476470202207565,0.5455452836400988,finbert-cal
